,vote_type,proposal_id,title,proposal_choice,voting_power
91,token_house,0x687a893ab4a927fff63693cd1748e8e5282332b6af49b879a99907f535f5034f,Governor Update Proposal #2: Improvements to advanced delegation allowance calculations ,ABSTAIN,3703.4087236563837
92,token_house,0x69d246389a656b17e19533dbab9da90ceee9721bbe97c473df22487f52643422,Grants Council Operating Budget,FOR,45942464.55836123
93,token_house,0x69d246389a656b17e19533dbab9da90ceee9721bbe97c473df22487f52643422,Grants Council Operating Budget,ABSTAIN,252043.1057230619
94,token_house,0x69d246389a656b17e19533dbab9da90ceee9721bbe97c473df22487f52643422,Grants Council Operating Budget,AGAINST,62511.092040249154
95,token_house,0x7262d92efbcd6e91341699994814715b5e39d7ec83df1823b65763f974131e50,Intent #1 Budget Proposal,FOR,25856260.691016957
96,token_house,0x7262d92efbcd6e91341699994814715b5e39d7ec83df1823b65763f974131e50,Intent #1 Budget Proposal,AGAINST,37389.96970005633
97,token_house,0x7262d92efbcd6e91341699994814715b5e39d7ec83df1823b65763f974131e50,Intent #1 Budget Proposal,ABSTAIN,6574.0939401914
98,token_house,0x7eb68ec6e81b16258b3b42f1f101fb1f81dd83db2935ffeda9ff2858cf6cb984,N/A,MULTIPLE,0.0
99,token_house,0x8946f0e5eb8434f1ee2af7c8ffe25a03b778ca9f41425eeb2c3658c77297a5f8,N/A,FOR,2979.9029547144596
100,token_house,0x8cf62e3c8c437a59542142b673bc48f8a2e74fa76f3453c24a4a0da468a0445a,Governor Upgrade #1: Improve advanced delegation voting ,FOR,54315284.90088786
101,token_house,0x8cf62e3c8c437a59542142b673bc48f8a2e74fa76f3453c24a4a0da468a0445a,Governor Upgrade #1: Improve advanced delegation voting ,ABSTAIN,1666.6221137996881
102,token_house,0x8cf62e3c8c437a59542142b673bc48f8a2e74fa76f3453c24a4a0da468a0445a,Governor Upgrade #1: Improve advanced delegation voting ,AGAINST,1629.4860186245937
103,token_house,0x8e0ef7186de24e53b5c525f0d768a98a98a552c43493bfa2557fa5bc1a09749a,Anticapture Commission Amendment ,FOR,44537674.24498373
104,token_house,0x8e0ef7186de24e53b5c525f0d768a98a98a552c43493bfa2557fa5bc1a09749a,Anticapture Commission Amendment ,ABSTAIN,96802.06856856441
105,token_house,0x8e0ef7186de24e53b5c525f0d768a98a98a552c43493bfa2557fa5bc1a09749a,Anticapture Commission Amendment ,AGAINST,2010.303055885024
106,token_house,0x8f665a94bc7a0e44adb40c3a5d1bc8abfb6610ad6b2311fc63cb573fa1c4a48c,Upgrade Proposal #3: Delta Network Upgrade ,FOR,47973168.65157966
107,token_house,0x8f665a94bc7a0e44adb40c3a5d1bc8abfb6610ad6b2311fc63cb573fa1c4a48c,Upgrade Proposal #3: Delta Network Upgrade ,AGAINST,17442.55720272951
108,token_house,0x8f665a94bc7a0e44adb40c3a5d1bc8abfb6610ad6b2311fc63cb573fa1c4a48c,Upgrade Proposal #3: Delta Network Upgrade ,ABSTAIN,4944.826909433364
109,token_house,0x8f8d61f0ecdce5f225b5bca821a2d5155563f2d42eb25b2aa763ee286018ea35,Protocol Delegation Program Renewal,FOR,22272075.52686199
110,token_house,0x8f8d61f0ecdce5f225b5bca821a2d5155563f2d42eb25b2aa763ee286018ea35,Protocol Delegation Program Renewal,AGAINST,2574961.7706548115
111,token_house,0x8f8d61f0ecdce5f225b5bca821a2d5155563f2d42eb25b2aa763ee286018ea35,Protocol Delegation Program Renewal,ABSTAIN,843166.620618008
112,token_house,0x94b959f09cc691b5a4667e0af047662e40bc88b3e25927e5991a34790a78018e,Developer Advisory Board Budget,FOR,45214690.322773784
113,token_house,0x94b959f09cc691b5a4667e0af047662e40bc88b3e25927e5991a34790a78018e,Developer Advisory Board Budget,AGAINST,116945.32631821041
114,token_house,0x94b959f09cc691b5a4667e0af047662e40bc88b3e25927e5991a34790a78018e,Developer Advisory Board Budget,ABSTAIN,36263.796900691144
115,token_house,0x94e6812c6aaf0fddcf20f9d171ea9a5261dace638a5990a685393700f6ba409,N/A,ABSTAIN,19.52075896245297
116,token_house,0x94e6812c6aaf0fddcf20f9d171ea9a5261dace638a5990a685393700f6ba409,N/A,MULTIPLE,0.0
